Lab_Name,LabID,Project,Agency,SiteName,MLID,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Taxon,AlgalDivision,NumberinStand,RankinStand,RelativeDensity,NaturalUnitsperML,CellperML,CellVolume(µ³/mL),Comments,Notes,stratum,shannon-wiener index,species evenness,species richness,total number of taxa in stand,taxon_grouped,Taxon,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Oocystis borgei Snow,Chlorophyta,,,2,,179.2,106265.6,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Oocystis parva West & West,Chlorophyta,,,1.9,,1075.2,96768,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,pennate diatoms,Bacillariophyta,,,5.4,,224,280000,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Scenedesmus obtusus Meyen,Chlorophyta,,,6.6,,1075.2,344064,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Unknown colonial cyanophyte,Cyanophyta,,,1.7,,358.4,89600,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Unknown cryptomonad,Cryptophyta,,,0.5,,44.8,26880,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,Unknown cryptomonad 2,Cryptophyta,,,2.6,,134.4,134400,,,,,,,,,,
Rushforth Phycology,SR180575,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile West of Provo Marina,4917390,11/14/2018,Total Phytoplankton,0.36m,,,"Willea rectangularis (Braun) John, Wynne & Tsarenko (= Crucigenia rectangularis (Nägeli) Gay)",Chlorophyta,,,4.4,,2867.2,229376,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,centric diatoms species,Bacillariophyta,,,6.6,,1433.6,1390592,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,centric diatoms species 2,Bacillariophyta,,,8.3,,7078.4,1769600,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Chlamydomonas species 2,Chlorophyta,,,0.4,,179.2,93184,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Cyanodictyon planctonicum Mayer,Cyanophyta,,,1.2,,32256,258048,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Desmodesmus communis (Hegewald) Hegewald,Chlorophyta,,,1.4,,1433.6,286720,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Desmodesmus opoliensis (Richter) Hegewald,Chlorophyta,,,1,,1433.6,215040,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Kirchneriella lunaris (Kirchner) Möbius (= Kirchneriella lunata Schmidle),Chlorophyta,,,0.2,,179.2,32256,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Komma species 2,Cryptophyta,,,0.7,,358.4,140492.8,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Leptolyngbya species,Cyanophyta,,,0.8,,21862.4,174899.2,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Monoraphidium convolutum (Corda) Komárková-Legnerová (= Ankistrodesmus convolutus Corda),Chlorophyta,,,0.1,,358.4,20070.4,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Oocystis species,Chlorophyta,,,0.4,,179.2,86016,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Pediastrum angulosum Ehrenberg ex Meneghini,Chlorophyta,,,13.6,,5734.4,2872934.4,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,pennate diatoms,Bacillariophyta,,,58.6,,9945.6,12432000,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Planktothrix species,Cyanophyta,,,2,,2508.8,413952,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Tetraëdron minimum (Braun) Hansgirg,Chlorophyta,,,0.4,,179.2,80640,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Unknown cryptomonad,Cryptophyta,,,2.7,,179.2,573440,,,,,,,,,,
Rushforth Phycology,SR180576,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,Outside Entrance of Provo Bay,4917770,11/14/2018,Total Phytoplankton,0.2m,,,Unknown cryptomonad 2,Cryptophyta,,,1.7,,358.4,358400,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Ankistrodesmus arcuatus Korshikov (= Monoraphidium arcuatum (Korshikov) Hindák),Chlorophyta,,,1.2,,201.6,13104,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Ankistrodesmus falcatus (Corda) Ralfs,Chlorophyta,,,0.6,,112,6384,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Aphanocapsa species,Cyanophyta,,,2,,784,21168,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,centric diatoms species,Bacillariophyta,,,10.3,,112,108640,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,centric diatoms species 2,Bacillariophyta,,,2.7,,112,28000,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Chlamydomonas species 2,Chlorophyta,,,2.1,,44.8,21952,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Cryptomonas species 2,Cryptophyta,,,14.6,,89.6,153574.4,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,"Desmodesmus bicellularis (Chodat) An, Friedl & Hegewald",Chlorophyta,,,0.5,,44.8,5241.6,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Desmodesmus communis (Hegewald) Hegewald,Chlorophyta,,,1.7,,89.6,17920,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Kirchneriella lunaris (Kirchner) Möbius (= Kirchneriella lunata Schmidle),Chlorophyta,,,4.2,,246.4,44352,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Komma species 2,Cryptophyta,,,7.5,,201.6,79027.2,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Merismopedia glauca (Ehrenberg) Kützing,Cyanophyta,,,0.7,,1388.8,6944,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Monoraphidium contortum (Thuret) Komárková-Legnerová,Chlorophyta,,,0.7,,112,7280,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Oocystis species,Chlorophyta,,,9.6,,358.4,100352,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,pennate diatoms,Bacillariophyta,,,8,,67.2,84000,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Pseudanabaena species,Cyanophyta,,,1,,806.4,10483.2,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Snowella lacustris (Chodat) Komárek & Hindák (= Gomphosphaeria lacustris Chodat),Cyanophyta,,,8.2,,784,86240,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Unknown colonial cyanophyte,Cyanophyta,,,6.4,,268.8,67200,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Unknown cryptomonad 2,Cryptophyta,,,5.1,,67.2,53760,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Unknown spherical chlorophyte 2,Chlorophyta,,,6.7,,156.8,70560,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,Unknown spherical chlorophyte 3,Chlorophyta,,,0.6,,112,6720,,,,,,,,,,
Rushforth Phycology,SR180577,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,1 Mile NE of Lincoln Point,4917710,11/14/2018,Total Phytoplankton,0.2m,,,"Willea rectangularis (Braun) John, Wynne & Tsarenko (= Crucigenia rectangularis (Nägeli) Gay)",Chlorophyta,,,5.5,,716.8,57344,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Ankistrodesmus arcuatus Korshikov (= Monoraphidium arcuatum (Korshikov) Hindák),Chlorophyta,,,0.2,,44.8,2912,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Ankistrodesmus falcatus (Corda) Ralfs,Chlorophyta,,,0.8,,179.2,10214.4,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Aphanizomenon flosaquae Ralfs ex Bornet & Flahault,Cyanophyta,,,5.3,,134.4,69484.8,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,centric diatoms species 2,Bacillariophyta,,,6,,313.6,78400,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Chlamydomonas species 2,Chlorophyta,,,2.2,,44.8,29120,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Chlamydomonas species 3,Chlorophyta,,,1.9,,89.6,25088,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Chlamydomonas globosa Snow,Chlorophyta,,,4.9,,89.6,63616,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Coelastrum species,Chlorophyta,,,3.7,,179.2,48025.6,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Cryptomonas species 2,Cryptophyta,,,2.8,,22.4,35840,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,"Desmodesmus bicellularis (Chodat) An, Friedl & Hegewald",Chlorophyta,,,1.2,,134.4,15724.8,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Desmodesmus communis (Hegewald) Hegewald,Chlorophyta,,,1.4,,89.6,17920,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Kirchneriella lunaris (Kirchner) Möbius (= Kirchneriella lunata Schmidle),Chlorophyta,,,2.2,,156.8,28224,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Komma species 2,Cryptophyta,,,1.3,,67.2,16934.4,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Monoraphidium contortum (Thuret) Komárková-Legnerová,Chlorophyta,,,0.3,,67.2,4368,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Monoraphidium convolutum (Corda) Komárková-Legnerová (= Ankistrodesmus convolutus Corda),Chlorophyta,,,0.1,,22.4,1254.4,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Oocystis species,Chlorophyta,,,7.7,,358.4,100352,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Oocystis borgei Snow,Chlorophyta,,,6.8,,179.2,88345.6,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Phormidium species,Cyanophyta,,,29.7,,1792,385280,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Scenedesmus obtusus Meyen,Chlorophyta,,,8.8,,358.4,114688,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Unknown cryptomonad 2,Cryptophyta,,,1.7,,22.4,22400,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Unknown spherical chlorophyte 2,Chlorophyta,,,3.1,,89.6,40320,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,Unknown spherical chlorophyte 3,Chlorophyta,,,1.1,,179.2,14336,,,,,,,,,,
Rushforth Phycology,SR180578,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,0.5 Mile W of Geneva Discharge (15B),4917320,11/14/2018,Total Phytoplankton,0.4m,,,"Willea rectangularis (Braun) John, Wynne & Tsarenko (= Crucigenia rectangularis (Nägeli) Gay)",Chlorophyta,,,6.6,,1075.2,86016,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Ankistrodesmus falcatus (Corda) Ralfs,Chlorophyta,,,0.7,,134.4,7660.8,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Aphanocapsa species,Cyanophyta,,,5.5,,2128,57456,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,centric diatoms species 2,Bacillariophyta,,,1.1,,44.8,11200,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Chlamydomonas species 2,Chlorophyta,,,1.9,,44.8,20160,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Cyanodictyon planctonicum Mayer,Cyanophyta,,,19.4,,25536,204288,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,"Desmodesmus bicellularis (Chodat) An, Friedl & Hegewald",Chlorophyta,,,0.5,,44.8,5241.6,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Desmodesmus communis (Hegewald) Hegewald,Chlorophyta,,,5.1,,268.8,53760,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Kirchneriella lunaris (Kirchner) Möbius (= Kirchneriella lunata Schmidle),Chlorophyta,,,1.1,,67.2,12096,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Komma species 2,Cryptophyta,,,0.6,,22.4,6540.8,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,"Limnococcus limneticus (Lemmermann) Komárková, Jezberová, Komárek & Zapomelová (= Chroococcus limneticus Lemmermann)",Cyanophyta,,,7.6,,537.6,79564.8,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Microcystis species,Cyanophyta,,,9.4,,896,98560,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Oocystis species,Chlorophyta,,,24.5,,537.6,258048,,,,,,,,,,
Rushforth Phycology,SR180579,UTAH LAKE PHYTOPLANKTON SURVEY,DWQ,2 Miles W of Vineyard,4917365,11/14/2018,,,,,Unknown colonial chlorophyte,Chlorophyta,,,10.1,,358.4,106086.4,,,,,,,,,,
